SKU,Name,Q1
300104-53-01,DEFENDER SERIES 300104-53-01 Compact Saddle Box  62 x 19.7 x 18.2 Black,73
300105-53-01,DEFENDER SERIES 300105-53-01 Full Size Saddle Box  71 x 19.7 x 17.7 Black,67
300106-53-01,DEFENDER SERIES 300106-53-01 Full Size Lo-Profile Box  71 x 19.7 x 16.2 Black,64
127-0-02,"Model 127-0-02 Saddle Box, Aluminum, Full Standard, 11.3 cu ft",51
T7414,T7414  14 ft Type IA Fiberglass Twin Ladder,46
SRS-72,SRS-72 6 ft Steel Rolling Scaffold,40
SRG-72,SRG-72  Guard Rail and Toeboard Kit,39
PA210,PA210 10 ft-17 ft Aluminum Extension Plank,34
300105-9-01,DEFENDER SERIES 300105-9-01 Full Size Saddle Box  71 x 19.7 x 17.7 Uncoated,30
T7420,T7420  20 ft Type IA Fiberglass Twin Ladder,26
T7416,T7416  16 ft Type IA Fiberglass Twin Ladder,26
4830,"Model 4830 JOBMASTER® Chest, 25.25 cu ft",26
D6228-2,D6228-2 28 ft Type IA Fiberglass D-Rung Extension Ladder,25
300106-9-01,DEFENDER SERIES 300106-9-01 Full Size Lo-Profile Box  71 x 19.7 x 16.2 Uncoated,25
6212,6212  12 ft Type IA Fiberglass Step Ladder,24
300401-53-01,DEFENDER SERIES 300401-53-01 Universal Chest Box  50 x 19.6 x 19.3 Black,23
300401-9-01,DEFENDER SERIES 300401-9-01 Universal Chest Box  50 x 19.6 x 19.3 Uncoated,22
PJ-100,PJ-100 Aluminum Pump Jack,21
PD7304,PD7304 Type IAA Fiberglass Podium Ladder,21
6210,6210  10 ft Type IA Fiberglass Step Ladder,20
T7418,T7418  18 ft Type IA Fiberglass Twin Ladder,19
560-3,560-3 60 ft Type I Aluminum Round Rung Extension Ladder,19
PD6206,PD6206 Type IA Fiberglass Podium Ladder,18
310,310  10 ft Type IA Aluminum Step Ladder,18
300207-53-01,DEFENDER SERIES 300207-53-01 Full Size Cross Box  71 x 19.7 x 17.8 Black,18
PJ-24P,PJ-24P Aluminum Pump Jack 24 ft Pole,17
PD6210,PD6210 Type IA Fiberglass Podium Ladder,17
D6224-2,D6224-2 24 ft Type IA Fiberglass D-Rung Extension Ladder,17
