Date,Impressions,Click-Throughs
1/1/17 0:00,1087,13
1/2/17 0:00,1440,17
1/3/17 0:00,2141,19
1/4/17 0:00,1882,13
1/5/17 0:00,1883,11
1/6/17 0:00,1599,24
1/7/17 0:00,1111,8
1/8/17 0:00,1075,16
1/9/17 0:00,1927,10
1/10/17 0:00,1965,11
1/11/17 0:00,1819,19
1/12/17 0:00,1812,16
1/13/17 0:00,1596,13
1/14/17 0:00,1041,8
1/15/17 0:00,1259,16
1/16/17 0:00,2079,16
1/17/17 0:00,1955,14
1/18/17 0:00,2018,16
1/19/17 0:00,1960,12
1/20/17 0:00,1595,26
1/21/17 0:00,860,8
1/22/17 0:00,1192,17
1/23/17 0:00,2146,20
1/24/17 0:00,1939,22
1/25/17 0:00,2058,17
1/26/17 0:00,1855,23
1/27/17 0:00,1684,15
1/28/17 0:00,1146,14
1/29/17 0:00,1126,15
1/30/17 0:00,2004,8
1/31/17 0:00,1853,16
2/1/17 0:00,1853,15
2/2/17 0:00,2060,21
2/3/17 0:00,1874,17
2/4/17 0:00,1341,24
2/5/17 0:00,1119,6
2/6/17 0:00,2254,33
2/7/17 0:00,2085,24
2/8/17 0:00,1963,24
2/9/17 0:00,1951,28
2/10/17 0:00,1724,21
2/11/17 0:00,1336,24
2/12/17 0:00,1357,21
2/13/17 0:00,1982,26
2/14/17 0:00,1980,23
2/15/17 0:00,2257,25
2/16/17 0:00,2010,14
2/17/17 0:00,1694,21
2/18/17 0:00,1250,20
2/19/17 0:00,1340,25
2/20/17 0:00,2137,26
2/21/17 0:00,2128,24
2/22/17 0:00,2119,22
2/23/17 0:00,1933,26
2/24/17 0:00,1808,23
2/25/17 0:00,1236,12
2/26/17 0:00,1308,20
2/27/17 0:00,2104,27
2/28/17 0:00,1830,14
3/1/17 0:00,2174,32
3/2/17 0:00,2131,23
3/3/17 0:00,1783,21
3/4/17 0:00,1355,17
3/5/17 0:00,1388,20
3/6/17 0:00,2189,24
3/7/17 0:00,2074,27
3/8/17 0:00,2051,33
3/9/17 0:00,2160,30
3/10/17 0:00,2174,26
3/11/17 0:00,1465,25
3/12/17 0:00,1403,14
3/13/17 0:00,2116,29
3/14/17 0:00,1932,20
3/15/17 0:00,2032,22
3/16/17 0:00,1986,20
3/17/17 0:00,1804,25
3/18/17 0:00,1430,23
3/19/17 0:00,1341,14
3/20/17 0:00,2185,25
3/21/17 0:00,2268,35
3/22/17 0:00,2140,24
3/23/17 0:00,2046,23
3/24/17 0:00,2013,21
3/25/17 0:00,1376,28
3/26/17 0:00,1552,19
3/27/17 0:00,2270,22
3/28/17 0:00,2184,29
3/29/17 0:00,2257,23
3/30/17 0:00,2185,35
3/31/17 0:00,1735,24
4/1/17 0:00,1433,20
4/2/17 0:00,1293,22
4/3/17 0:00,2197,33
4/4/17 0:00,2122,28
4/5/17 0:00,1895,27
4/6/17 0:00,2024,35
4/7/17 0:00,1748,21
4/8/17 0:00,1266,15
4/9/17 0:00,1201,15
4/10/17 0:00,2057,28
4/11/17 0:00,2187,13
4/12/17 0:00,1808,14
4/13/17 0:00,1911,23
4/14/17 0:00,1445,23
4/15/17 0:00,1133,10
4/16/17 0:00,1113,16
4/17/17 0:00,1870,30
4/18/17 0:00,2026,16
4/19/17 0:00,1989,21
4/20/17 0:00,1934,20
4/21/17 0:00,1845,14
4/22/17 0:00,1289,18
4/23/17 0:00,1224,24
4/24/17 0:00,2057,20
4/25/17 0:00,1990,28
4/26/17 0:00,1943,23
4/27/17 0:00,1712,21
4/28/17 0:00,1445,16
4/29/17 0:00,1114,15
4/30/17 0:00,1091,22
5/1/17 0:00,1791,24
5/2/17 0:00,1656,31
5/3/17 0:00,1559,21
5/4/17 0:00,1615,21
5/5/17 0:00,1376,12
5/6/17 0:00,1049,18
5/7/17 0:00,1015,22
5/8/17 0:00,1622,17
5/9/17 0:00,1598,22
5/10/17 0:00,1598,27
5/11/17 0:00,1413,32
5/12/17 0:00,897,19
5/13/17 0:00,478,9
5/14/17 0:00,567,16
5/15/17 0:00,974,20
5/16/17 0:00,980,23
5/17/17 0:00,1004,24
5/18/17 0:00,940,12
5/19/17 0:00,788,21
5/20/17 0:00,582,16
5/21/17 0:00,656,20
5/22/17 0:00,1068,29
5/23/17 0:00,1087,27
5/24/17 0:00,940,28
5/25/17 0:00,979,35
5/26/17 0:00,750,18
5/27/17 0:00,531,16
5/28/17 0:00,476,17
5/29/17 0:00,614,16
5/30/17 0:00,1015,19
5/31/17 0:00,905,31
6/1/17 0:00,947,20
6/2/17 0:00,845,20
6/3/17 0:00,543,30
6/4/17 0:00,516,17
6/5/17 0:00,974,31
6/6/17 0:00,1065,43
6/7/17 0:00,932,29
6/8/17 0:00,895,32
6/9/17 0:00,792,22
6/10/17 0:00,552,15
6/11/17 0:00,596,13
6/12/17 0:00,1112,36
6/13/17 0:00,948,31
6/14/17 0:00,957,24
6/15/17 0:00,945,29
6/16/17 0:00,853,30
6/17/17 0:00,508,15
6/18/17 0:00,554,18
6/19/17 0:00,991,28
6/20/17 0:00,861,21
6/21/17 0:00,916,24
6/22/17 0:00,959,27
6/23/17 0:00,798,24
6/24/17 0:00,533,14
6/25/17 0:00,581,16
6/26/17 0:00,882,23
6/27/17 0:00,873,30
6/28/17 0:00,902,21
6/29/17 0:00,819,17
6/30/17 0:00,737,20
7/1/17 0:00,532,25
7/2/17 0:00,506,16
7/3/17 0:00,699,23
7/4/17 0:00,493,8
7/5/17 0:00,805,20
7/6/17 0:00,821,23
7/7/17 0:00,708,17
7/8/17 0:00,504,11
7/9/17 0:00,557,13
7/10/17 0:00,877,17
7/11/17 0:00,891,13
7/12/17 0:00,956,25
7/13/17 0:00,925,29
7/14/17 0:00,765,20
7/15/17 0:00,612,21
7/16/17 0:00,573,14
7/17/17 0:00,916,26
7/18/17 0:00,818,24
7/19/17 0:00,895,25
7/20/17 0:00,889,17
7/21/17 0:00,792,23
7/22/17 0:00,570,21
7/23/17 0:00,566,26
7/24/17 0:00,994,26
7/25/17 0:00,867,16
7/26/17 0:00,869,23
7/27/17 0:00,974,20
7/28/17 0:00,837,20
7/29/17 0:00,565,12
7/30/17 0:00,564,17
7/31/17 0:00,1005,21
8/1/17 0:00,1037,22
8/2/17 0:00,1022,20
8/3/17 0:00,922,23
8/4/17 0:00,846,19
8/5/17 0:00,619,12
8/6/17 0:00,571,17
8/7/17 0:00,963,19
8/8/17 0:00,1027,21
8/9/17 0:00,919,15
8/10/17 0:00,878,8
8/11/17 0:00,816,24
8/12/17 0:00,632,10
8/13/17 0:00,590,17
8/14/17 0:00,921,20
8/15/17 0:00,1036,20
8/16/17 0:00,1038,18
8/17/17 0:00,854,24
8/18/17 0:00,886,23
8/19/17 0:00,546,17
8/20/17 0:00,481,7
8/21/17 0:00,892,25
8/22/17 0:00,845,14
8/23/17 0:00,778,26
8/24/17 0:00,795,15
8/25/17 0:00,767,18
8/26/17 0:00,510,14
8/27/17 0:00,411,13
8/28/17 0:00,774,12
8/29/17 0:00,781,16
8/30/17 0:00,807,18
8/31/17 0:00,748,17
9/1/17 0:00,575,8
9/2/17 0:00,561,12
9/3/17 0:00,526,14
9/4/17 0:00,597,12
9/5/17 0:00,1006,14
9/6/17 0:00,923,18
9/7/17 0:00,869,24
9/8/17 0:00,802,14
9/9/17 0:00,577,7
9/10/17 0:00,571,20
9/11/17 0:00,985,20
9/12/17 0:00,935,19
9/13/17 0:00,1002,23
9/14/17 0:00,990,18
9/15/17 0:00,1020,16
9/16/17 0:00,531,16
9/17/17 0:00,615,18
9/18/17 0:00,938,19
9/19/17 0:00,1048,25
9/20/17 0:00,1033,24
9/21/17 0:00,885,17
9/22/17 0:00,751,15
9/23/17 0:00,602,14
9/24/17 0:00,580,19
9/25/17 0:00,985,25
9/26/17 0:00,914,31
9/27/17 0:00,920,20
9/28/17 0:00,1008,15
9/29/17 0:00,782,15
9/30/17 0:00,43,0
10/1/17 0:00,606,12
10/2/17 0:00,906,22
10/3/17 0:00,915,18
10/4/17 0:00,963,16
10/5/17 0:00,944,25
10/6/17 0:00,896,16
10/7/17 0:00,609,13
10/8/17 0:00,598,10
10/9/17 0:00,987,18
10/10/17 0:00,1016,17
10/11/17 0:00,929,14
10/12/17 0:00,1028,14
10/13/17 0:00,902,23
10/14/17 0:00,600,10
10/15/17 0:00,630,15
10/16/17 0:00,1007,18
10/17/17 0:00,984,23
10/18/17 0:00,1003,15
10/19/17 0:00,906,13
10/20/17 0:00,834,13
10/21/17 0:00,577,23
10/22/17 0:00,629,16
